,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
25,300,Southeast Oklahoma PUMA,12958,196711.40000000002,443.5215891024923,729.5930140735999,12228.4069859264,13687.5930140736
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",12361,494366.2,703.1117976538297,1156.61890714055,11204.38109285945,13517.61890714055
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,12072,225309.05000000002,474.6673045407699,780.8277159695665,11291.172284030434,12852.827715969566
23,100,Northeast Oklahoma PUMA,11185,155078.5,393.8000761807951,647.8011253174079,10537.198874682592,11832.801125317408
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,10746,224911.5,474.24835265923696,780.1385401244448,9965.861459875556,11526.138540124444
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",10353,217260.15000000002,466.1117355312994,766.7538049489875,9586.246195051013,11119.753804948987
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",10128,250801.40000000002,500.8007587853677,823.8172482019298,9304.182751798071,10951.817248201929
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,10117,147604.15,384.1928552172723,631.997246832413,9485.002753167588,10748.997246832412
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,10040,373360.9,611.0326505187755,1005.1487101033857,9034.851289896615,11045.148710103385
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,9432,234470.85,484.22190161123444,796.5450281504807,8635.45497184952,10228.54502815048
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",8910,274979.05,524.3844486633828,862.6124180512647,8047.387581948735,9772.612418051265
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",8002,144380.95,379.97493338376944,625.0587654163007,7376.941234583699,8627.058765416301
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",7920,178467.95,422.4546721247145,694.9379356451553,7225.062064354845,8614.937935645155
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",7687,196298.55000000002,443.05592197825325,728.8269916542266,6958.173008345773,8415.826991654227
4,601,Comanche County (Central)--Lawton City PUMA,7679,320804.85000000003,566.3963718104134,931.72203162813,6747.27796837187,8610.722031628131
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,7576,342422.05000000005,585.1683945668973,962.602009062546,6613.397990937454,8538.602009062546
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",7437,155473.15,394.3008369253101,648.6248767421351,6788.375123257865,8085.624876742135
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",7135,173935.0,417.0551522280956,686.0557254152172,6448.944274584783,7821.055725415217
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",6869,129545.40000000001,359.92415867790817,592.0752410251589,6276.924758974841,7461.075241025159
20,500,Panhandle & Northwest Oklahoma PUMA,6787,200717.30000000002,448.0148435040964,736.9844175642386,6050.015582435762,7523.984417564238
3,400,Southwest Oklahoma PUMA,6687,248728.30000000002,498.72667865274667,820.4053863837682,5866.594613616232,7507.405386383768
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,6382,317970.7,563.8889074986313,927.5972528352485,5454.402747164751,7309.597252835249
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",6305,66595.85,258.0617174243402,424.51152516303966,5880.48847483696,6729.51152516304
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",6252,110042.85,331.727071551298,545.6910327018852,5706.308967298115,6797.691032701885
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",5711,131378.25,362.4613772528047,596.2489655808638,5114.751034419136,6307.248965580864
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,5457,113386.8,336.72956508153544,553.9201345591258,4903.0798654408745,6010.9201345591255
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,5300,266559.9,516.2943927644383,849.304276097501,4450.695723902499,6149.304276097501
11,800,Canadian County--Oklahoma City (West) PUMA,4805,139631.45,373.672918472827,614.6919508878004,4190.3080491122,5419.6919508878
