,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
25,300,Southeast Oklahoma PUMA,38531,357661.75,598.0482840038921,983.7894271864026,37547.210572813594,39514.789427186406
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",37817,1135686.35,1065.6858589659525,1753.053237998992,36063.94676200101,39570.05323799899
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,36853,558256.1,747.1653766068125,1229.0870445182065,35623.91295548179,38082.08704451821
23,100,Northeast Oklahoma PUMA,32574,275426.0,524.8104419692886,863.3131770394798,31710.68682296052,33437.31317703948
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",31110,455305.25,674.763106578894,1109.9853103222808,30000.01468967772,32219.98531032228
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",30320,471251.65,686.4777126753643,1129.2558373509742,29190.744162649025,31449.255837350975
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",26932,463227.55000000005,680.6082206379821,1119.6005229494806,25812.39947705052,28051.60052294948
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,25801,492708.75,701.9321548411926,1154.678394713762,24646.321605286237,26955.678394713763
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",25236,290046.8,538.5599316696332,885.9310875965466,24350.068912403454,26121.931087596546
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",23440,316313.35000000003,562.4174161599194,925.1766495830674,22514.823350416933,24365.176649583067
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,23406,289478.45,538.032015776013,885.0626659515415,22520.93733404846,24291.06266595154
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,23178,580929.05,762.1870177325247,1253.7976441700032,21924.202355829995,24431.797644170005
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,22475,643926.0,802.4499984422705,1320.030247437535,21154.969752562465,23795.030247437535
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,22089,299544.25,547.3063584501829,900.3189596505508,21188.68104034945,22989.31895965055
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,22017,562951.35,750.3008396636645,1234.2448812467283,20782.755118753274,23251.244881246726
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",21502,328265.15,572.9442817587064,942.4933434930721,20559.50665650693,22444.49334349307
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",20568,371337.65,609.3748025640706,1002.4215502178961,19565.578449782104,21570.421550217896
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",20289,421384.85000000003,649.1416255332884,1067.8379740022594,19221.16202599774,21356.83797400226
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",20167,265636.15,515.3990201775708,847.831388192104,19319.168611807894,21014.831388192106
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",18709,248624.85,498.62295374360775,820.2347589082348,17888.765241091765,19529.234758908235
3,400,Southwest Oklahoma PUMA,18389,372836.7,610.6035538710859,1004.4428461179363,17384.557153882062,19393.442846117938
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",18224,225616.25,474.99078938438373,781.3598485373112,17442.64015146269,19005.35984853731
20,500,Panhandle & Northwest Oklahoma PUMA,18083,304591.7,551.8982696113478,907.8726535106672,17175.12734648933,18990.87265351067
4,601,Comanche County (Central)--Lawton City PUMA,17367,606811.75,778.9812257044454,1281.4241162838127,16085.575883716187,18648.42411628381
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",16467,220579.45,469.6588655609516,772.5888338477654,15694.411166152235,17239.588833847767
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,16100,534951.6,731.4038556091976,1203.1593424771302,14896.84065752287,17303.15934247713
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,13666,239164.95,489.0449365855862,804.4789206832893,12861.52107931671,14470.47892068329
11,800,Canadian County--Oklahoma City (West) PUMA,13144,362101.5,601.7487017019646,989.8766142997317,12154.123385700268,14133.876614299732
