,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",33094,983030.7000000001,991.4790466772357,1630.9830317840529,31463.016968215947,34724.98303178405
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,29532,308085.45,555.0544567878003,913.0645814159315,28618.935418584068,30445.064581415932
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",22862,348351.30000000005,590.2129276794943,970.9002660327682,21891.099733967232,23832.900266032768
25,300,Southeast Oklahoma PUMA,21975,192910.40000000002,439.2156645658258,722.5097682107835,21252.490231789216,22697.509768210784
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,21275,297677.45,545.5982496306234,897.5091206423755,20377.490879357625,22172.509120642375
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,20118,483952.95,695.6672696052331,1144.3726585006084,18973.627341499392,21262.372658500608
23,100,Northeast Oklahoma PUMA,19954,168607.40000000002,410.6183142530299,675.4671269462342,19278.532873053766,20629.467126946234
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,18907,534421.0,731.0410385197264,1202.56250836495,17704.43749163505,20109.56250836495
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",18019,244050.55000000002,494.0147265011439,812.6542250943818,17206.345774905618,18831.654225094382
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,17342,230944.95,480.56732098635257,790.53324302255,16551.46675697745,18132.53324302255
11,800,Canadian County--Oklahoma City (West) PUMA,16415,226170.80000000002,475.5741792822651,782.3195249193261,15632.680475080673,17197.319524919327
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,16034,154233.80000000002,392.7261132137765,646.0344562366623,15387.965543763337,16680.034456236663
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",16022,315596.60000000003,561.7798501192439,924.1278534461561,15097.872146553844,16946.127853446156
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",15289,295732.45,543.8128814215419,894.5721899384364,14394.427810061563,16183.572189938437
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",14947,239643.40000000002,489.53385991165106,805.283199554666,14141.716800445334,15752.283199554666
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,14891,296164.45,544.2099319196591,895.2253380078392,13995.77466199216,15786.22533800784
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",14729,214013.35,462.61576929456265,761.0029404895556,13967.997059510444,15490.002940489556
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",14210,189962.05000000002,435.8463605446305,716.9672630959171,13493.032736904082,14926.967263095918
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",14083,151374.05000000002,389.06818168542134,640.017158872518,13442.982841127481,14723.017158872519
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",13808,160719.25,400.8980543729291,659.4772994434684,13148.522700556532,14467.477299443468
3,400,Southwest Oklahoma PUMA,13786,312742.85000000003,559.234163834793,919.9401995082345,12866.059800491765,14705.940199508235
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,13533,290783.15,539.24312698448,887.0549438894697,12645.94505611053,14420.05494388947
20,500,Panhandle & Northwest Oklahoma PUMA,13402,225081.30000000002,474.42733900988463,780.4329726712602,12621.56702732874,14182.43297267126
4,601,Comanche County (Central)--Lawton City PUMA,12835,323985.80000000005,569.1975052650881,936.32989616107,11898.67010383893,13771.32989616107
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",12755,196920.55000000002,443.7573097989486,729.9807746192705,12025.019225380729,13484.980774619271
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",12579,127993.95000000001,357.7624211680148,588.5191828213843,11990.480817178615,13167.519182821385
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",12489,167062.85,408.73322595551247,672.366156696818,11816.633843303181,13161.366156696819
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,11700,398880.45,631.5698298684002,1038.9323701335184,10661.067629866482,12738.932370133518
