,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
23,100,Northeast Oklahoma PUMA,1690,38860.450000000004,197.13054050552392,324.27973913158684,1365.720260868413,2014.279739131587
25,300,Southeast Oklahoma PUMA,1356,24684.95,157.11444873085352,258.45326816225406,1097.546731837746,1614.453268162254
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",1120,28117.15,167.68169250100024,275.8363841641454,844.1636158358547,1395.8363841641453
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",849,19988.0,141.37892346456738,232.56832909921334,616.4316709007867,1081.5683290992133
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",839,29744.300000000003,172.46535884055095,283.7055152927063,555.2944847072937,1122.7055152927064
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",828,17508.95,132.32138904954104,217.668684986495,610.331315013505,1045.668684986495
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",827,42483.450000000004,206.1151377264659,339.0594015600364,487.9405984399636,1166.0594015600363
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",817,18071.75,134.43120917406048,221.1393390913295,595.8606609086705,1038.1393390913295
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",769,19156.95,138.40863412374244,227.68220313355633,541.3177968664437,996.6822031335563
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",706,16427.75,128.17078450255346,210.84094050670043,495.15905949329954,916.8409405067005
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",693,16005.400000000001,126.51244998022922,208.11298021747706,484.88701978252294,901.1129802174771
3,400,Southwest Oklahoma PUMA,630,28362.75,168.41244015808334,277.0384640600471,352.9615359399529,907.0384640600471
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,622,11080.45,105.26371644588652,173.15881355348333,448.84118644651664,795.1588135534834
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,619,29804.65,172.64023285433788,283.9931830453858,335.0068169546142,902.9931830453859
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",583,15256.650000000001,123.5178124806297,203.18680153063585,379.8131984693641,786.1868015306359
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",578,13272.45,115.20611962912388,189.51406678990878,388.4859332100912,767.5140667899088
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",568,20103.800000000003,141.78786972093206,233.24104569093325,334.7589543090668,801.2410456909332
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,548,10865.2,104.23627007908524,171.46866428009523,376.53133571990475,719.4686642800953
11,800,Canadian County--Oklahoma City (West) PUMA,493,13536.75,116.3475397247402,191.39170284719762,301.6082971528024,684.3917028471976
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,480,12118.6,110.08451298888505,181.0890238667159,298.91097613328407,661.0890238667159
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,462,11717.75,108.24855657236266,178.06887556153657,283.9311244384634,640.0688755615365
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,422,10526.800000000001,102.6001949315887,168.7773206624634,253.2226793375366,590.7773206624634
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",374,7199.700000000001,84.85104595701812,139.5799705992948,234.4200294007052,513.5799705992948
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,352,8440.15,91.87028899486492,151.1266253965528,200.8733746034472,503.1266253965528
20,500,Panhandle & Northwest Oklahoma PUMA,323,4211.7,64.89761166637798,106.75657119119178,216.24342880880823,429.75657119119177
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,299,10067.800000000001,100.33842733469567,165.05671296557438,133.94328703442562,464.0567129655744
4,601,Comanche County (Central)--Lawton City PUMA,168,4186.05,64.69969088025074,106.43099149801247,61.569008501987526,274.4309914980125
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,165,4351.400000000001,65.96514231016258,108.51265910021743,56.487340899782566,273.51265910021743
