,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
23,100,Northeast Oklahoma PUMA,1511,42157.850000000006,205.32376871662962,337.75759953885574,1173.2424004611444,1848.7575995388556
25,300,Southeast Oklahoma PUMA,1156,15896.1,126.07973667485192,207.40116683013142,948.5988331698686,1363.4011668301314
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",1077,35849.8,189.34043413914526,311.46501415889395,765.534985841106,1388.465014158894
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",998,39152.85,197.87079117444293,325.4974514819586,672.5025485180414,1323.4974514819587
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",973,22866.600000000002,151.21706252933234,248.7520678607517,724.2479321392483,1221.7520678607516
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",938,19119.9,138.2747265410422,227.46192516001443,710.5380748399856,1165.4619251600145
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",915,21774.050000000003,147.5603266464262,242.7367373333711,672.2632626666289,1157.7367373333711
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",852,17731.850000000002,133.16099278692693,219.0498331344948,632.9501668655053,1071.0498331344947
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",843,30667.45,175.1212437141765,288.0744459098203,554.9255540901797,1131.0744459098203
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,795,27117.2,164.6730093245399,270.8871003388681,524.1128996611319,1065.887100338868
11,800,Canadian County--Oklahoma City (West) PUMA,763,22998.600000000002,151.65289314747676,249.4690092275993,513.5309907724007,1012.4690092275993
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,748,25657.15,160.17849418695383,263.49362293753904,484.50637706246096,1011.493622937539
3,400,Southwest Oklahoma PUMA,744,28856.5,169.87201064330756,279.43945750824093,464.56054249175907,1023.4394575082409
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",741,25048.95,158.2686008025597,260.3518483202107,480.6481516797893,1001.3518483202107
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,694,27656.7,166.30303665297276,273.5684952941402,420.4315047058598,967.5684952941401
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",665,16076.0,126.7911668847637,208.57146952543627,456.42853047456373,873.5714695254362
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",612,12425.45,111.46950255563178,183.36733170401428,428.6326682959857,795.3673317040143
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,609,12268.85,110.76484099207654,182.20816343196591,426.7918365680341,791.2081634319659
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",599,10956.45,104.67306243728613,172.1871877093357,426.8128122906643,771.1871877093357
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,561,18158.9,134.75496280285932,221.6719138107036,339.3280861892964,782.6719138107036
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,462,12137.1,110.16850729677697,181.22719450319812,280.7728054968019,643.2271945031981
20,500,Panhandle & Northwest Oklahoma PUMA,445,7398.400000000001,86.01395235657992,141.49295162657398,303.507048373426,586.492951626574
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,422,9281.9,96.34261777635066,158.48360624209684,263.5163937579032,580.4836062420968
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",392,12506.45,111.83224043181824,183.964035510341,208.035964489659,575.964035510341
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",370,9746.800000000001,98.72588313102092,162.4040777505294,207.5959222494706,532.4040777505294
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,309,9508.95,97.5138451708269,160.41027530601025,148.58972469398975,469.41027530601025
4,601,Comanche County (Central)--Lawton City PUMA,278,5805.05,76.19087871917478,125.33399549304251,152.6660045069575,403.3339954930425
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,220,4189.0,64.72248450113763,106.4684870043714,113.5315129956286,326.4684870043714
