,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
23,100,Northeast Oklahoma PUMA,474,6567.700000000001,81.04134747152222,133.31301659065406,340.68698340934594,607.3130165906541
25,300,Southeast Oklahoma PUMA,413,7172.1,84.6882518416811,139.3121742795654,273.6878257204346,552.3121742795654
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",271,6219.200000000001,78.86190461813614,129.72783309683393,141.27216690316607,400.72783309683393
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",235,2915.1000000000004,53.991666023563305,88.81629060876163,146.18370939123838,323.8162906087616
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",229,6921.650000000001,83.1964542513682,136.85816724350067,92.14183275649933,365.8581672435007
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",224,9685.75,98.41620801473708,161.8946621842425,62.10533781575751,385.8946621842425
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",221,7289.400000000001,85.37798311040149,140.44678221661044,80.55321778338956,361.4467822166105
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,202,12674.2,112.57974951117986,185.19368794589087,16.806312054109128,387.1936879458909
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",195,3729.6000000000004,61.07045111999747,100.46089209239584,94.53910790760416,295.46089209239585
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,189,5217.650000000001,72.23330256882902,118.82378272572373,70.17621727427627,307.82378272572373
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",170,5706.400000000001,75.54071749725442,124.26448028298353,45.73551971701647,294.2644802829835
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",166,3789.8,61.561351512129754,101.26842323745345,64.73157676254655,267.2684232374535
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",161,3333.4,57.73560426634504,94.97506901813759,66.02493098186241,255.9750690181376
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",157,3288.65,57.346752305601406,94.33540754271431,62.66459245728569,251.3354075427143
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",157,3120.6000000000004,55.86233077844139,91.89353413053608,65.10646586946392,248.89353413053607
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",152,2582.2000000000003,50.81535201098188,83.5912540580652,68.4087459419348,235.5912540580652
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",127,4650.400000000001,68.1938413641584,112.17886904404057,14.821130955959433,239.17886904404057
11,800,Canadian County--Oklahoma City (West) PUMA,95,2607.4,51.06270654792987,83.99815227134464,11.001847728655363,178.99815227134462
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,85,3304.9,57.488259670997174,94.56818715879035,-9.568187158790352,179.56818715879035
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,83,2743.55,52.378907968761624,86.16330360861288,-3.1633036086128783,169.16330360861286
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,82,1718.5,41.454794656348255,68.19313720969288,13.806862790307122,150.19313720969288
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,82,2585.9,50.85174529944867,83.65112101759307,-1.65112101759307,165.65112101759308
3,400,Southwest Oklahoma PUMA,82,905.1500000000001,30.085710894044038,49.49099442070244,32.50900557929756,131.49099442070244
20,500,Panhandle & Northwest Oklahoma PUMA,78,692.8000000000001,26.321094202179363,43.29819996258505,34.70180003741495,121.29819996258504
4,601,Comanche County (Central)--Lawton City PUMA,51,1078.7,32.84356862461812,54.02767038749681,-3.027670387496812,105.02767038749681
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,46,507.85,22.53552750658391,37.07094274833053,8.92905725166947,83.07094274833054
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,27,516.65,22.72993620756556,37.39074506144535,-10.390745061445351,64.39074506144536
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,22,487.05,22.06920931977401,36.303849331028246,-14.303849331028246,58.303849331028246
