,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci90lo,ci90up
23,100,Northeast Oklahoma PUMA,705,8799.800000000001,93.8072491868299,154.3129249123352,550.6870750876648,859.3129249123352
25,300,Southeast Oklahoma PUMA,613,9989.400000000001,99.94698594755123,164.41279188372178,448.58720811627825,777.4127918837218
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",485,13453.800000000001,115.99051685374974,190.80440022441832,294.1955997755817,675.8044002244183
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",441,13577.150000000001,116.52102814513782,191.67709129875172,249.32290870124828,632.6770912987517
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,421,21685.15,147.2587858159913,242.2407026673057,178.7592973326943,663.2407026673056
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",404,6454.5,80.33990291256269,132.15914029116564,271.8408597088344,536.1591402911656
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",375,10154.150000000001,100.7678023973928,165.76303494371115,209.23696505628885,540.7630349437111
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",351,11946.1,109.29821590492683,179.79556516360464,171.20443483639536,530.7955651636046
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",309,7600.650000000001,87.18170679678163,143.41390768070576,165.58609231929424,452.41390768070573
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",303,7290.950000000001,85.3870599095671,140.4617135512379,162.5382864487621,443.4617135512379
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",302,12324.25,111.01463867436583,182.61908061933178,119.38091938066822,484.6190806193318
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",295,20424.15,142.9130854750537,235.09202560646332,59.907974393536676,530.0920256064633
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",282,9938.650000000001,99.69277807343921,163.99461993080752,118.00538006919248,445.9946199308075
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",272,5043.3,71.0161953359936,116.82164132770947,155.17835867229053,388.8216413277095
3,400,Southwest Oklahoma PUMA,247,8576.050000000001,92.60696518081133,152.33845772243464,94.66154227756536,399.33845772243467
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,231,6143.8,78.38239598277154,128.93904139165917,102.06095860834083,359.9390413916592
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",230,5073.0,71.22499561249548,117.16511778255506,112.83488221744494,347.16511778255506
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",204,4060.1000000000004,63.71891398948981,104.81761351271075,99.18238648728925,308.81761351271075
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,187,4790.05,69.21018711143613,113.85075779831243,73.14924220168757,300.85075779831243
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,163,2617.55,51.16199761541764,84.16148607736201,78.83851392263799,247.161486077362
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,159,6907.950000000001,83.11407822986429,136.72265868812676,22.277341311873244,295.7226586881268
11,800,Canadian County--Oklahoma City (West) PUMA,144,3726.05,61.041379407742745,100.41306912573681,43.58693087426319,244.4130691257368
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,135,4718.05,68.68806300952153,112.99186365066292,22.00813634933708,247.99186365066294
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,122,4423.5,66.5093978321861,109.40795943394613,12.592040566053868,231.40795943394613
4,601,Comanche County (Central)--Lawton City PUMA,100,2187.85,46.774458842406716,76.94398479575905,23.05601520424095,176.94398479575904
20,500,Panhandle & Northwest Oklahoma PUMA,98,823.35,28.694076043671455,47.201755091839544,50.798244908160456,145.20175509183954
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,86,1378.4,37.126809720200846,61.07360198973039,24.926398010269608,147.07360198973038
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,27,516.65,22.72993620756556,37.39074506144535,-10.390745061445351,64.39074506144536
