,PUMA_y,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",48134.0,317043.10000000003,563.0658043248586,926.2432481143925,47207.75675188561,49060.24324811439
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,44538.0,310104.45,556.8702272522746,916.0515238299918,43621.94847617001,45454.05152382999
25,300,Southeast Oklahoma PUMA,44482.0,144723.7,380.42568262408366,625.8002479166176,43856.19975208338,45107.80024791662
23,100,Northeast Oklahoma PUMA,42894.0,170117.55000000002,412.4530882415599,678.4853301573661,42215.51466984263,43572.48533015737
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",36312.0,267672.35000000003,517.3706118441596,851.0746564836426,35460.925343516355,37163.074656483645
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,36086.0,289438.7,537.9950743268938,885.0018972677403,35200.99810273226,36971.00189726774
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",34901.0,281188.65,530.2722414005848,872.297837103962,34028.702162896036,35773.297837103964
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,33910.0,454422.55000000005,674.1087078505959,1108.9088244142304,32801.09117558577,35018.90882441423
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",29894.0,179512.1,423.6886828793047,696.9678833364562,29197.032116663544,30590.967883336456
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",29646.0,156782.05000000002,395.95713151804705,651.3494813471874,28994.650518652812,30297.349481347188
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",29430.0,199058.1,446.1592764921514,733.932009829589,28696.06799017041,30163.93200982959
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",27569.0,173049.75,415.992487912943,684.3076426167912,26884.69235738321,28253.30764261679
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",26272.0,128359.35,358.272731309543,589.3586430041983,25682.641356995802,26861.358643004198
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,26051.0,343813.4,586.3560351868138,964.5556778823086,25086.44432211769,27015.55567788231
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",25954.0,262103.65000000002,511.9605941867011,842.1751774371234,25111.824822562878,26796.175177437122
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",25408.0,131078.6,362.04778690112164,595.5686094523451,24812.431390547656,26003.568609452344
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",25178.0,100403.15000000001,316.86456097203427,521.2422027989963,24656.757797201004,25699.242202798996
20,500,Panhandle & Northwest Oklahoma PUMA,24841.0,90728.25,301.21130456873624,495.4925960155711,24345.50740398443,25336.49259601557
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",24664.0,105343.25,324.566249015513,533.9114796305189,24130.08852036948,25197.91147963052
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,24647.0,153879.65,392.27496733796306,645.2923212709493,24001.70767872905,25292.29232127095
11,800,Canadian County--Oklahoma City (West) PUMA,23685.0,157812.85,397.2566550732662,653.4871975955228,23031.51280240448,24338.48719759552
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",23628.0,132691.75,364.26878812217774,599.2221564609824,23028.777843539017,24227.222156460983
3,400,Southwest Oklahoma PUMA,22469.0,183075.40000000002,427.8731120320603,703.8512692927392,21765.14873070726,23172.85126929274
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,21439.0,268708.2,518.370716765521,852.7198290792821,20586.28017092072,22291.71982907928
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,20372.0,222554.35,471.7566639698903,776.0397122304696,19595.96028776953,21148.03971223047
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,18510.0,290910.60000000003,539.361288933494,887.2493202955977,17622.7506797044,19397.2493202956
4,601,Comanche County (Central)--Lawton City PUMA,16637.0,229142.95,478.6887819867936,787.4430463682754,15849.556953631725,17424.443046368277
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,15649.0,209104.30000000002,457.27923635345616,752.2243438014353,14896.775656198564,16401.224343801434
