,PUMA_x,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
25,300,Southeast Oklahoma PUMA,37211,794709.75,891.4649460298481,1466.4598362191,35744.5401637809,38677.4598362191
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",35415,1778375.8,1333.557572810413,2193.7022072731293,33221.29779272687,37608.70220727313
23,100,Northeast Oklahoma PUMA,33762,665596.65,815.8410690814725,1342.0585586390223,32419.941441360977,35104.05855863902
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",28386,665616.25,815.8530811365488,1342.0783184696227,27043.921681530377,29728.078318469623
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,27487,556454.65,745.9588795637465,1227.102356882363,26259.897643117638,28714.102356882362
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",24680,586339.4500000001,765.7280522483162,1259.62264594848,23420.37735405152,25939.62264594848
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",24317,628734.05,792.9275187556552,1304.3657683530528,23012.634231646945,25621.365768353055
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",20986,447045.80000000005,668.6148368081582,1099.8714065494203,19886.12859345058,22085.87140654942
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",20844,575031.3,758.3081827331155,1247.416960595975,19596.583039404024,22091.416960595976
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,20202,405360.45,636.6792363506132,1047.3373437967587,19154.66265620324,21249.33734379676
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",19868,492717.0,701.9380314529196,1154.6880617400527,18713.311938259947,21022.688061740053
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",19836,657954.65,811.1440377639474,1334.3319421216934,18501.668057878305,21170.331942121695
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,19425,451166.35000000003,671.6891766285951,1104.928695554039,18320.071304445963,20529.928695554037
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,19234,735303.5,857.4983964999585,1410.5848622424319,17823.41513775757,20644.58486224243
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",17854,568709.0,754.1279732247041,1240.5405159546383,16613.45948404536,19094.54051595464
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",17796,399966.75,632.429245054338,1040.346108114386,16755.653891885613,18836.346108114387
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",17567,441300.15,664.3042601097783,1092.7805078805852,16474.219492119413,18659.780507880587
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,17031,992483.0,996.2344101666033,1638.8056047240625,15392.194395275937,18669.80560472406
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",16697,367856.45,606.5117063998023,997.7117570276747,15699.288242972325,17694.711757027675
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",15752,359502.5,599.5852733348277,986.3177746357915,14765.68222536421,16738.31777463579
4,601,Comanche County (Central)--Lawton City PUMA,15732,720410.8500000001,848.7701985814535,1396.226976666491,14335.77302333351,17128.22697666649
20,500,Panhandle & Northwest Oklahoma PUMA,15573,488163.80000000005,698.6871975354923,1149.3404399458848,14423.659560054115,16722.340439945885
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,15388,420459.75,648.4286776508269,1066.6651747356102,14321.33482526439,16454.66517473561
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,15095,573620.6,757.3774488324827,1245.885903329434,13849.114096670566,16340.885903329434
3,400,Southwest Oklahoma PUMA,14839,592339.4500000001,769.6359204195189,1266.0510890901087,13572.94891090989,16105.05108909011
11,800,Canadian County--Oklahoma City (West) PUMA,14553,654823.05,809.2113753525713,1331.1527124549798,13221.84728754502,15884.15271245498
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,13965,544784.85,738.0954206604997,1214.166966986522,12750.833033013478,15179.166966986522
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,13436,566644.0,752.7575971054692,1238.286247238497,12197.713752761503,14674.286247238497
