,PUMA,PUMA_y,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
25,300,300,Southeast Oklahoma PUMA,40948.0,777389.4500000001,881.6969150450738,1450.3914252491463,39497.608574750855,42398.391425249145
17,900,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",38329.0,1765522.4500000002,1328.729637661477,2185.76025395313,36143.23974604687,40514.76025395313
23,100,100,Northeast Oklahoma PUMA,37272.0,679561.9,824.355445181264,1356.0647073231794,35915.93529267682,38628.06470732318
10,1302,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",32312.0,663476.65,814.5407601833073,1339.9195505015405,30972.08044949846,33651.91955050154
15,1201,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,30317.0,746107.0,863.774854924592,1420.9096363509539,28896.090363649048,31737.909636350952
26,702,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",27533.0,675520.4,821.9004805936057,1352.0262905764814,26180.973709423517,28885.026290576483
5,1204,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",26463.0,799721.25,894.2713514364642,1471.0763731129837,24991.923626887015,27934.076373112985
24,200,200,"Cherokee, Sequoyah & Adair Counties PUMA",24137.0,565022.5,751.6797855470107,1236.5132472248326,22900.486752775167,25373.513247224833
2,602,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",23789.0,491301.10000000003,700.9287410286441,1153.0277789921197,22635.97222100788,24942.02777899212
7,1102,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",23159.0,674742.05,821.4268378863695,1351.247148323078,21807.752851676923,24510.247148323077
8,1501,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",22881.0,907935.25,952.8563637820761,1567.4487184215152,21313.551281578486,24448.448718421514
13,1002,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,21806.0,737811.7000000001,858.9596614509904,1412.9886430868794,20393.01135691312,23218.98864308688
16,1202,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,21276.0,433722.9,658.5764192559585,1083.3582096760517,20192.64179032395,22359.35820967605
6,1203,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,21049.0,482971.60000000003,694.9615816719655,1143.2118018503834,19905.788198149618,22192.211801850382
21,1400,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",20678.0,768311.55,876.5338270711519,1441.898145532045,19236.101854467954,22119.898145532046
27,701,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",20669.0,515306.45,717.8484867992688,1180.8607607847973,19488.1392392152,21849.8607607848
4,601,601,Comanche County (Central)--Lawton City PUMA,19769.0,910810.0,954.3636623426104,1569.9282245535942,18199.071775446406,21338.928224553594
1,1005,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,19764.0,964404.0,982.0407323527879,1615.457004720336,18148.542995279662,21379.457004720338
19,1004,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",19210.0,485164.45,696.5374720716754,1145.8041415579062,18064.195858442094,20355.804141557906
20,500,500,Panhandle & Northwest Oklahoma PUMA,18299.0,523968.60000000003,723.8567537848908,1190.7443599761452,17108.255640023854,19489.744359976146
22,1601,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",17949.0,421731.0,649.4081921257231,1068.2764760468144,16880.723523953187,19017.276476046813
12,1101,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",17888.0,357123.5,597.5981091000874,983.0488894696438,16904.951110530357,18871.048889469643
11,800,800,Canadian County--Oklahoma City (West) PUMA,17837.0,935459.25,967.1914236592464,1591.0298919194604,16245.970108080539,19428.02989191946
3,400,400,Southwest Oklahoma PUMA,17186.0,541427.7000000001,735.817708403379,1210.4201303235584,15975.579869676441,18396.420130323557
0,1001,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,17019.0,558548.9500000001,747.3613249292474,1229.4093795086121,15789.590620491388,18248.409379508612
9,1301,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,16832.0,397519.95,630.4918318265511,1037.1590633546766,15794.840936645323,17869.159063354677
14,1003,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,15456.0,633330.55,795.820677037233,1309.1250137262484,14146.874986273751,16765.125013726247
18,1006,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,14832.0,573075.9,757.0177672947974,1245.2942271999418,13586.705772800058,16077.294227199942
