,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
23,100,Northeast Oklahoma PUMA,464,7084.950000000001,84.17214503622918,138.46317858459702,325.536821415403,602.463178584597
25,300,Southeast Oklahoma PUMA,422,7973.55,89.29473668699629,146.8898418501089,275.1101581498911,568.889841850109
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",220,5609.400000000001,74.89592779317178,123.20380121976758,96.79619878023242,343.20380121976757
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",212,2975.1000000000004,54.54447726397238,89.72566509923458,122.27433490076542,301.72566509923456
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",202,5405.1,73.51938519873518,120.93938865191937,81.06061134808063,322.9393886519194
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",197,6010.35,77.52644710032828,127.53100548004002,69.46899451995998,324.53100548004
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",188,5677.700000000001,75.35051426500021,123.95159596592535,64.04840403407465,311.9515959659253
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",187,3093.7000000000003,55.62103918482646,91.49660945903952,95.50339054096048,278.4966094590395
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",185,7425.35,86.1704705801239,141.75042410430382,43.24957589569618,326.7504241043038
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,169,10446.1,102.20616419766472,168.12914010515846,0.8708598948415442,337.12914010515846
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",144,4241.85,65.12948640976681,107.13800514406641,36.86199485593359,251.13800514406643
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",144,2852.0,53.40411969127476,87.84977689214698,56.15022310785302,231.84977689214696
20,500,Panhandle & Northwest Oklahoma PUMA,143,2048.1,45.25593883679798,74.44601938653268,68.55398061346732,217.44601938653267
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,139,5432.900000000001,73.7082084981042,121.2500029793814,17.749997020618594,260.2500029793814
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,138,3478.25,58.97669031066426,97.01665556104271,40.98334443895729,235.0166555610427
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,134,4772.85,69.08581619985394,113.64616764875973,20.35383235124027,247.64616764875973
11,800,Canadian County--Oklahoma City (West) PUMA,116,3050.2000000000003,55.228615771174276,90.85107294358168,25.148927056418316,206.8510729435817
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",111,2661.55,51.59021224999952,84.86589915124921,26.13410084875079,195.8658991512492
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",101,2613.25,51.119956963988145,84.09232920576049,16.907670794239507,185.0923292057605
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",100,1753.1000000000001,41.87003701932923,68.8762108967966,31.123789103203407,168.87621089679658
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,93,2815.6000000000004,53.06222762003119,87.2873644349513,5.7126355650487,180.28736443495131
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,92,1885.8500000000001,43.4263744745057,71.43638601056188,20.563613989438124,163.43638601056188
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",92,2593.4500000000003,50.925926599326594,83.77314925589225,8.22685074410775,175.77314925589224
3,400,Southwest Oklahoma PUMA,71,837.2,28.934408582170814,47.59710211767099,23.402897882329007,118.597102117671
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,46,507.85,22.53552750658391,37.07094274833053,8.92905725166947,83.07094274833054
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,35,664.5,25.777897509300484,42.4046414027993,-7.4046414027992995,77.4046414027993
4,601,Comanche County (Central)--Lawton City PUMA,27,297.0,17.233687939614086,28.34941666066517,-1.3494166606651703,55.34941666066517
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,27,516.65,22.72993620756556,37.39074506144535,-10.390745061445351,64.39074506144536
