,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
25,300,Southeast Oklahoma PUMA,707,13902.800000000001,117.91013527258801,193.96217252340728,513.0378274765927,900.9621725234073
23,100,Northeast Oklahoma PUMA,690,12177.800000000001,110.35306973528195,181.5307997145388,508.46920028546117,871.5307997145388
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",473,11363.6,106.60018761709568,175.3573086301224,297.64269136987764,648.3573086301224
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",423,9329.5,96.58933688560037,158.8894591768126,264.1105408231874,581.8894591768126
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,401,20745.350000000002,144.03246161890036,236.9333993630911,164.0666006369089,637.9333993630911
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",399,12182.35,110.37368345760687,181.56470928776332,217.43529071223668,580.5647092877633
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",398,11572.900000000001,107.577413986394,176.96484600761815,221.03515399238185,574.9648460076181
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",351,14298.300000000001,119.57549916266292,196.7016961225805,154.2983038774195,547.7016961225805
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",344,9879.150000000001,99.39391329452725,163.50298736949733,180.49701263050267,507.5029873694973
3,400,Southwest Oklahoma PUMA,306,14389.050000000001,119.95436632319809,197.32493260166086,108.67506739833914,503.32493260166086
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",304,6646.5,81.52606945020715,134.11038424559075,169.88961575440925,438.11038424559075
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",291,8455.25,91.95243335551268,151.26175286981837,139.73824713018163,442.26175286981834
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",286,7643.950000000001,87.42968603397819,143.8218335258941,142.1781664741059,429.82183352589414
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",256,7913.900000000001,88.96010341720608,146.339370121304,109.660629878696,402.339370121304
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",232,5602.5,74.8498496992479,123.1280027552628,108.8719972447372,355.1280027552628
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,226,7796.6,88.29835785562493,145.250798672503,80.74920132749699,371.25079867250304
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,191,3881.8500000000004,62.30449421991965,102.49089299176782,88.50910700823218,293.49089299176785
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,185,3469.05,58.89864175004378,96.88826567882202,88.11173432117798,281.888265678822
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,180,4400.8,66.33852575992324,109.12687487507374,70.87312512492626,289.1268748750737
20,500,Panhandle & Northwest Oklahoma PUMA,179,2477.3,49.77248235722225,81.8757334776306,97.1242665223694,260.8757334776306
11,800,Canadian County--Oklahoma City (West) PUMA,174,5029.3,70.91755776956789,116.65938253093918,57.34061746906082,290.6593825309392
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,172,5903.05,76.83130872242123,126.38750284838292,45.61249715161708,298.38750284838295
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",170,3849.8,62.04675656309522,102.06691454629164,67.93308545370836,272.0669145462916
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",132,2128.6,46.136753245108174,75.89495908820295,56.10504091179705,207.89495908820294
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,131,4292.900000000001,65.5202258848365,107.78077158055605,23.21922841944395,238.78077158055606
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,86,1378.4,37.126809720200846,61.07360198973039,24.926398010269608,147.07360198973038
4,601,Comanche County (Central)--Lawton City PUMA,72,1380.25,37.151715976519846,61.114572781375145,10.885427218624855,133.11457278137516
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,51,1326.5,36.42114770294862,59.91278797135048,-8.912787971350483,110.91278797135048
